======================================================================
log10(x) x f(x)=(x^3)/6/(sinh(x)-x)  f1(x)  f1_blad_wzgledny f2(x) f2_blad_wzgledny
-9.42000000000000000006938893903907228 3.80189396320561196145345904003449396e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.40999999999999999986122212192185543 3.8904514499428060110156317476601237e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.39999999999999999965305530480463858 3.98107170553497250763758859346533279e-10 1 0.416579925233711811379628750517944979 -0.234018631418899226528701658367470628 1 -16.0000000000000000104083408558608426
-9.39000000000000000031225022567582528 4.07380277804112730500980843135339164e-10 1 0.446373432062360906287220088661804596 -0.256783076730756108779904142713768067 1 -16.0000000000000000104083408558608426
-9.38000000000000000010408340855860843 4.1686938347033540178047933002178547e-10 1 0.478297749799986867048256014567364502 -0.282577290079731007507810730539077326 1 -16.0000000000000000104083408558608426
-9.36999999999999999989591659144139157 4.26579518801592658006205223648174975e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.35999999999999999968774977432417472 4.36515832240165967473996083803976957e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.35000000000000000034694469519536142 4.46683592150963118550954193426622826e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.34000000000000000013877787807814457 4.57088189614875029006404037925584131e-10 1 inf inf 1.00000000000000000010842021724855044 -16.0000000000000000104083408558608426
-9.32999999999999999993061106096092772 4.67735141287198193600860397464290252e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.31999999999999999972244424384371086 4.78630092322638343918184120278770484e-10 1 inf inf 1 -16.0000000000000000104083408558608426
-9.31000000000000000038163916471489756 4.89778819368446195913745961939588854e-10 1 0.387854060084836914888695158509790417 -0.213145026638724405782898511929612795 1 -16.0000000000000000104083408558608426
